Artist,Album,Author,Date,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Genre 9,Genre 10,Genre 11,Genre 12,Genre 13,Genre 14,Genre 15,Genre 16,Genre 17,Genre 18,Genre 19,Genre 20,Genre 21,Genre 22,Rating,DR Score,Label,Comments
Scars of Armageddon,Dead End,Swordborn,"December 16, 2017",American Metal,Power Metal,,,,,,,,,,,,,,,,,,,,,3,7,Self-Released,32
Mistheria,Gemini,GardensTale,"December 15, 2017",Italian Metal,Neo-Classical Metal,Progressive Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,1.5,7,Rockshots Records,36
Elvenking,Secrets of the Magick Grimoire [Things You Might Have Missed 2017],Swordborn,"December 15, 2017",Folk Metal,Power Metal,Things You MIght Have Missed 2017,Folk Metal,Power Metal,,,,,,,,,,,,,,,,,,,,,43
The Clearing Path,Watershed Between Firmament and the Realm of Hyperborea,Eldritch Elitist,"December 15, 2017",Black Metal,Italian Metal,Death Metal,,,,,,,,,,,,,,,,,,,,4,5,"I, Voidhanger Records",42
Midnight,Sweet Death and Ecstasy,Dr. A.N. Grier,"December 14, 2017",American Metal,Black Metal,Thrash Metal,Black Metal,Thrash Metal,,,,,,,,,,,,,,,,,,3.5,6,Hells Headbangers Records,81
Iron Walrus,A Beast Within,Steel Druhm,"December 14, 2017",Death Metal,Sludge,Stoner Metal,Death Metal,Sludge Metal,,,,,,,,,,,,,,,,,,3.5,6,Redfield Records,69
Iperyt,The Patchwork Gehinnom,Mark Z.,"December 13, 2017",Black Metal,Death Metal,Industrial Metal,Polish Metal,,,,,,,,,,,,,,,,,,,1.5,5,Pagan Records,20
Interstelar,Resin,Huck N Roll,"December 12, 2017",American Metal,Stoner Rock,Stoner Rock,,,,,,,,,,,,,,,,,,,,3,7,Kozmik Artifactz,19
Deathcult,Cult of the Goat,Dr. A.N. Grier,"December 11, 2017",Black Metal,Norwegian Metal,,,,,,,,,,,,,,,,,,,,,3,7,Soulseller Records,32
Marginal,Total Destruction,Mark Z.,"December 11, 2017",Belgian Metal,Crust Punk,Grind,Crust Punk,,,,,,,,,,,,,,,,,,,3,6,Transcending Obscurity Records,16
Operation: Mindcrime,A New Reality,Swordborn,"December 10, 2017",American Metal,Progressive Rock,Progressive Metal,Progressive Rock,,,,,,,,,,,,,,,,,,,1.5,8,Frontiers Records,62
Æther Realm,Tarot [Things You Might Have Missed 2017],Dr. Wvrm,"December 10, 2017",American Metal,Melodic Death Metal,Things You MIght Have Missed 2017,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,,,72
Neocaesar,11:11,Diabolus in Muzaka,"December 9, 2017",Death Metal,Dutch Metal,Death Metal,,,,,,,,,,,,,,,,,,,,3.5,6,Xtreem Music,61
Stormhold,Salvation,Swordborn,"December 8, 2017",Power Metal,Swedish Metal,Heavy Metal,Power Metal,,,,,,,,,,,,,,,,,,,2,7,Pure Steel Records,75
The Negative Bias,Lamentations of the Chaos Omega,Master of Muppets,"December 8, 2017",Austrian Metal,Avante Garde,Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,4,7,ATMF,64
Pale Horseman,The Fourth Seal,Grymm,"December 8, 2017",American Metal,Sludge,Sludge Metal,,,,,,,,,,,,,,,,,,,,3,9,Black Bow Records,36
Genus Ordinis Dei,Great Olden Dynasty,GardensTale,"December 7, 2017",Death Metal,Deathcore,Italian Metal,Symphonic Metal,Deathcore,,,,,,,,,,,,,,,,,,3.5,6,Eclipse Records,48
Hard Action,Hot Wired Beat,Huck N Roll,"December 7, 2017",Finnish Metal,Hard Rock,Heavy Metal,Retro Metal,Hard Rock,Heavy Metal,Retro Metal,,,,,,,,,,,,,,,,2,8,Svart Records,9
Aetherian,The Untamed Wilderness,Dr. Wvrm,"December 6, 2017",Greek Metal,Melodic Death Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,3.5,9,Lifeforce Records,43
This page can’t be found.,,Dr. Wvrm,"December 6, 2017",Greek Metal,Melodic Death Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,3.5,9,Lifeforce Records,43
This page can’t be found.,,Dr. Wvrm,"December 6, 2017",Greek Metal,Melodic Death Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,3.5,9,Lifeforce Records,43
This page can’t be found.,,Dr. Wvrm,"December 6, 2017",Greek Metal,Melodic Death Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,3.5,9,Lifeforce Records,43
The 3rd Attempt,Egocidal Path,Dr. A.N. Grier,"December 5, 2017",Black Metal,Norwegian Metal,Black Metal,,,,,,,,,,,,,,,,,,,,3,6,Dark Essence Records,19
Degial,Predator Reign,Grymm,"December 5, 2017",Death Metal,Swedish Metal,Death Metal,,,,,,,,,,,,,,,,,,,,3,7,Sepulchral Voice Records,17
This page can’t be found.,,Grymm,"December 5, 2017",Death Metal,Swedish Metal,Death Metal,,,,,,,,,,,,,,,,,,,,3,7,Sepulchral Voice Records,17
Nupraptor,The Heresiarch,Steel Druhm,"December 4, 2017",American Metal,Doom Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,3,7,Shadow Kingdom Records,28
This page can’t be found.,,Steel Druhm,"December 4, 2017",American Metal,Doom Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,3,7,Shadow Kingdom Records,28
Warrior Soul,Back on the Lash,Dr. Fisting,"December 4, 2017",American Metal,Glam Metal,Hard Rock,Hair Metal,Hard Rock,Heavy Metal,,,,,,,,,,,,,,,,,1,7,Rock ‘N’ Growl,47
Sea Goat,Tata,Huck N Roll,"December 2, 2017",German Metal,Progressive Rock,Progressive Rock,,,,,,,,,,,,,,,,,,,,3.5,7,Swan Lake,59
Loch Vostok,Strife,Eldritch Elitist,"December 1, 2017",Progressive Metal,Swedish Metal,Melodic Death Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,1.5,5,ViciSolum Productions,33
This page can’t be found.,,Eldritch Elitist,"December 1, 2017",Progressive Metal,Swedish Metal,Melodic Death Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,1.5,5,ViciSolum Productions,33
Morbid Angel,Kingdoms Disdained,Ferrous Beuller,"December 1, 2017",American Metal,Death Metal,Death Metal,,,,,,,,,,,,,,,,,,,,3,,Silver Lining Music,162
Defecto,Nemesis,GardensTale,"November 29, 2017",Danish Metal,Metalcore,Power Metal,Progressive Metal,Metalcore,Power Metal,Progressive Metal,,,,,,,,,,,,,,,,2,6,Prime Collective,61
Stälker,Shadow of the Sword,Huck N Roll,"November 29, 2017",New Zealand Metal,Speed Metal,Thrash Metal,Speed Metal,Thrash Metal,,,,,,,,,,,,,,,,,,3.5,11,Napalm Records,82
Oblivion,The Path Towards…,Ferrous Beuller,"November 28, 2017",American Metal,Death Metal,Technical Death Metal,Death Metal,Technical Death Metal,,,,,,,,,,,,,,,,,,2.5,6,Unique Leader Records,48
Priest,New Flesh,Dr. A.N. Grier,"November 28, 2017",Not Metal,Not Metal,Electronica,Not Metal,Not Metal,,,,,,,,,,,,,,,,,,2,8,Lövely Records,86
This page can’t be found.,,Dr. A.N. Grier,"November 28, 2017",Not Metal,Not Metal,Electronica,Not Metal,Not Metal,,,,,,,,,,,,,,,,,,2,8,Lövely Records,86
Jess and the Ancient Ones,The Horse and Other Weird Tales,Steel Druhm,"November 27, 2017",Finnish Metal,Occult Rock,Psychedelic Rock,Rock,Occult Rock,,,,,,,,,,,,,,,,,,,,,46
This page can’t be found.,,Steel Druhm,"November 27, 2017",Finnish Metal,Occult Rock,Psychedelic Rock,Rock,Occult Rock,,,,,,,,,,,,,,,,,,,,,46
This page can’t be found.,,Steel Druhm,"November 27, 2017",Finnish Metal,Occult Rock,Psychedelic Rock,Rock,Occult Rock,,,,,,,,,,,,,,,,,,,,,46
Toothgrinder,Phantom Amour,Mark Z.,"November 25, 2017",Alt-Metal,American Metal,Hardcore,Progressive Metal,Alt-Metal,Hardcore,Progressive Metal,,,,,,,,,,,,,,,,3.5,5,Spinefarm Records,25
Taake,Kong Vinter,Dr. A.N. Grier,"November 24, 2017",Black Metal,Norwegian Metal,Black Metal,,,,,,,,,,,,,,,,,,,,3.5,7,Dark Essence Records,63
This page can’t be found.,,Dr. A.N. Grier,"November 24, 2017",Black Metal,Norwegian Metal,Black Metal,,,,,,,,,,,,,,,,,,,,3.5,7,Dark Essence Records,63
Jupiterian,Terraforming,Master of Muppets,"November 22, 2017",Black Metal,Brazilian Metal,Doom Metal,Sludge,Black Metal,Doom Metal,Sludge,,,,,,,,,,,,,,,,3,4,Transcending Obscurity Records,47
This page can’t be found.,,Master of Muppets,"November 22, 2017",Black Metal,Brazilian Metal,Doom Metal,Sludge,Black Metal,Doom Metal,Sludge,,,,,,,,,,,,,,,,3,4,Transcending Obscurity Records,47
Perihelion,Örvény,Huck N Roll,"November 20, 2017",Hungarian Metal,Post-Metal,Post-Rock,Post-Metal,,,,,,,,,,,,,,,,,,,3.5,5,Apathia Records,51
This page can’t be found.,,Huck N Roll,"November 20, 2017",Hungarian Metal,Post-Metal,Post-Rock,Post-Metal,,,,,,,,,,,,,,,,,,,3.5,5,Apathia Records,51
V,Pathogenisis,Steel Druhm,"November 18, 2017",Doom Metal,Post-Metal,Swedish Metal,Doom Metal,Hardcore,Post-Metal,,,,,,,,,,,,,,,,,3,10,Suicide Records,53
This page can’t be found.,,Steel Druhm,"November 18, 2017",Doom Metal,Post-Metal,Swedish Metal,Doom Metal,Hardcore,Post-Metal,,,,,,,,,,,,,,,,,3,10,Suicide Records,53
Ketha,Zero Hours Starlight,Kronos,"November 17, 2017",Avante Garde,Djent,Polish Metal,Djent,,,,,,,,,,,,,,,,,,,2.5,6,Selfmadegod Records,71
This page can’t be found.,,Kronos,"November 17, 2017",Avante Garde,Djent,Polish Metal,Djent,,,,,,,,,,,,,,,,,,,2.5,6,Selfmadegod Records,71
This page can’t be found.,,Kronos,"November 17, 2017",Avante Garde,Djent,Polish Metal,Djent,,,,,,,,,,,,,,,,,,,2.5,6,Selfmadegod Records,71
This page can’t be found.,,Kronos,"November 17, 2017",Avante Garde,Djent,Polish Metal,Djent,,,,,,,,,,,,,,,,,,,2.5,6,Selfmadegod Records,71
No Amnesty,Psychopathy,Dr. Wvrm,"November 17, 2017",Spanish Metal,Thrash Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,3.5,7,Xtreem Music,45
Eternal Flight,Retrofuture,Swordborn,"November 15, 2017",French Metal,Power Metal,Power Metal,,,,,,,,,,,,,,,,,,,,1.5,6,Massacre Records,49
This page can’t be found.,,Swordborn,"November 15, 2017",French Metal,Power Metal,Power Metal,,,,,,,,,,,,,,,,,,,,1.5,6,Massacre Records,49
Kawir,Exilasmos,Eldritch Elitist,"November 15, 2017",Black Metal,Greek Metal,Black Metal,,,,,,,,,,,,,,,,,,,,3.5,8,Iron Bonehead Productions,22
Impureza,La Caída De Tonatiuh,GardensTale,"November 15, 2017",Death Metal,French Metal,Death Metal,,,,,,,,,,,,,,,,,,,,3.5,9,Season of Mist,139
Desolate Shrine,Deliverance from the Godless Void,Ferrous Beuller,"November 14, 2017",Black Metal,Death Metal,Doom Metal,Finnish Metal,Black Metal,Death Metal,Doom Metal,,,,,,,,,,,,,,,,4.5,10,Dark Descent Records,65
This page can’t be found.,,Ferrous Beuller,"November 14, 2017",Black Metal,Death Metal,Doom Metal,Finnish Metal,Black Metal,Death Metal,Doom Metal,,,,,,,,,,,,,,,,4.5,10,Dark Descent Records,65
Threat Signal,Disconnect,Mark Z.,"November 13, 2017",Canadian Metal,Groove Metal,Metalcore,Groove Metal,Metalcore,,,,,,,,,,,,,,,,,,2.5,5,Agonia Records,39
Hobosexual,Monolith,Master of Muppets,"November 13, 2017",American Metal,Hard Rock,Rock,,,,,,,,,,,,,,,,,,,,4,6,Kitchenable Records,61
Opium Warlords,Droner,Lokasenna,"November 12, 2017",Avante Garde,Doom Metal,Drone,Finnish Metal,Doom Metal,,,,,,,,,,,,,,,,,,2,8,Svart Records,19
Electric Wizard,Wizard Bloody Wizard,GardensTale,"November 11, 2017",British Metal,Doom Metal,Sludge,Stoner Metal,Doom Metal,Sludge Metal,Stoner Metal,,,,,,,,,,,,,,,,2,7,Spinefarm Records,49
This page can’t be found.,,GardensTale,"November 11, 2017",British Metal,Doom Metal,Sludge,Stoner Metal,Doom Metal,Sludge Metal,Stoner Metal,,,,,,,,,,,,,,,,2,7,Spinefarm Records,49
Lustre,Still Innocence,El Cuervo,"November 11, 2017",Ambient Metal,Black Metal,Swedish Metal,Black Metal,,,,,,,,,,,,,,,,,,,1,11,Nordvis Produktion,78
Witchery,I Am Legion,Lord Lucan,"November 10, 2017",Black Metal,Swedish Metal,Thrash Metal,Black Metal,Thrash Metal,,,,,,,,,,,,,,,,,,2.5,7,Century Media,23
Professor Emeritus,Take Me to the Gallows,Steel Druhm,"November 10, 2017",American Metal,Heavy Metal,Doom Metal,Heavy Metal,,,,,,,,,,,,,,,,,,,,,,25
Moonspell,1755,Dr. A.N. Grier,"November 9, 2017",Gothic Metal,Portuguese Metal,Gothic Metal,,,,,,,,,,,,,,,,,,,,3,5,Napalm Records,60
Converge,The Dusk in Us,Grymm,"November 9, 2017",American Metal,Hardcore,Metalcore,Hardcore,Metalcore,,,,,,,,,,,,,,,,,,4.5,6,Epitaph Records,77
This page can’t be found.,,Grymm,"November 9, 2017",American Metal,Hardcore,Metalcore,Hardcore,Metalcore,,,,,,,,,,,,,,,,,,4.5,6,Epitaph Records,77
This page can’t be found.,,Grymm,"November 9, 2017",American Metal,Hardcore,Metalcore,Hardcore,Metalcore,,,,,,,,,,,,,,,,,,4.5,6,Epitaph Records,77
Pink Mass,Necrosexual,Treble Yell,"November 8, 2017",American Metal,Grind,Hardcore,Punk,Grind,Hardcore,Punk,,,,,,,,,,,,,,,,3,5,Self-Released,35
This page can’t be found.,,Treble Yell,"November 8, 2017",American Metal,Grind,Hardcore,Punk,Grind,Hardcore,Punk,,,,,,,,,,,,,,,,3,5,Self-Released,35
Ram,Rod,Huck N Roll,"November 8, 2017",Heavy Metal,NWOBHM,Swedish Metal,Heavy Metal,NWOBHM,,,,,,,,,,,,,,,,,,3.5,7,Metal Blade Records,39
Annihilator,For the Demented,Steel Druhm,"November 6, 2017",Canadian Metal,Thrash Metal,Heavy Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,3,8,Silver Lining Music,48
This page can’t be found.,,Steel Druhm,"November 6, 2017",Canadian Metal,Thrash Metal,Heavy Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,3,8,Silver Lining Music,48
Bloodhunter,The End of Faith,Lokasenna,"November 5, 2017",Melodic Death Metal,Spanish Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,3,6,Xtreem Music,25
Keldian,Darkness and Light,Swordborn,"November 5, 2017",Norwegian Metal,Power Metal,Power Metal,,,,,,,,,,,,,,,,,,,,4,,Perris Records,41
This page can’t be found.,,Swordborn,"November 5, 2017",Norwegian Metal,Power Metal,Power Metal,,,,,,,,,,,,,,,,,,,,4,,Perris Records,41
Stahlsarg,Mechanisms of Misanthropy,Dr. Wvrm,"November 4, 2017",Black Metal,British Metal,Black Metal,,,,,,,,,,,,,,,,,,,,2.5,6,Non Serviam Records,15
This page can’t be found.,,Dr. Wvrm,"November 4, 2017",Black Metal,British Metal,Black Metal,,,,,,,,,,,,,,,,,,,,2.5,6,Non Serviam Records,15
Fragarak,A Spectral Oblivion,Kronos,"November 3, 2017",Death Metal,Indian Metal,Progressive Death,Death Metal,,,,,,,,,,,,,,,,,,,2,7,Transcending Obscurity Records,74
This page can’t be found.,,Kronos,"November 3, 2017",Death Metal,Indian Metal,Progressive Death,Death Metal,,,,,,,,,,,,,,,,,,,2,7,Transcending Obscurity Records,74
Sacrocurse,Gnostic Holocaust,L. Saunders,"November 2, 2017",Black Metal,Death Metal,Mexican Metal,Turkish Metal,Black Metal,Death Metal,,,,,,,,,,,,,,,,,2,6,Iron Bonehead Productions,37
This page can’t be found.,,L. Saunders,"November 2, 2017",Black Metal,Death Metal,Mexican Metal,Turkish Metal,Black Metal,Death Metal,,,,,,,,,,,,,,,,,2,6,Iron Bonehead Productions,37
Affliktor,Affliktor,Treble Yell,"November 1, 2017",American Metal,Black Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,3,9,Transcending Obscurity Records,26
Siinai,Sykli,Huck N Roll,"October 31, 2017",Ambient Metal,Finnish Metal,Instrumental Metal,Not Metal,Ambient Metal,Instrumental Metal,Not Metal,,,,,,,,,,,,,,,,2.5,5,Svart Records,38
This page can’t be found.,,Huck N Roll,"October 31, 2017",Ambient Metal,Finnish Metal,Instrumental Metal,Not Metal,Ambient Metal,Instrumental Metal,Not Metal,,,,,,,,,,,,,,,,2.5,5,Svart Records,38
Cursed Moon,Rite of Darkness,Ferrous Beuller,"October 31, 2017",American Metal,Gothic Metal,Retro Metal,,,,,,,,,,,,,,,,,,,,3,6,Hells Headbangers Records,38
This page can’t be found.,,Ferrous Beuller,"October 31, 2017",American Metal,Gothic Metal,Retro Metal,,,,,,,,,,,,,,,,,,,,3,6,Hells Headbangers Records,38
Cannibal Corpse,Red Before Black,Ferrous Beuller,"October 30, 2017",American Metal,Death Metal,Death Metal,,,,,,,,,,,,,,,,,,,,3,6,Metal Blade Records,76
Procession,Doom Decimation,Steel Druhm,"October 30, 2017",Chilean Metal,Doom Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,3,7,High Roller Records,22
The Hate Colony,Ascending,Dr. Wvrm,"October 29, 2017",Melodic Death Metal,Metalcore,Mighty Music,Norwegian Metal,Melodic Death Metal,Metalcore,,,,,,,,,,,,,,,,,2,7,Mighty Music,28
Night Viper,Exterminator,Eldritch Elitist,"October 29, 2017",Heavy Metal,Swedish Metal,Heavy Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,2.5,8,Listenable Records,17
Evertale,The Great Brotherwar,Swordborn,"October 28, 2017",German Metal,Power Metal,Power Metal,,,,,,,,,,,,,,,,,,,,3,,NoiseArt Records,54
This page can’t be found.,,Swordborn,"October 28, 2017",German Metal,Power Metal,Power Metal,,,,,,,,,,,,,,,,,,,,3,,NoiseArt Records,54
This page can’t be found.,,Swordborn,"October 28, 2017",German Metal,Power Metal,Power Metal,,,,,,,,,,,,,,,,,,,,3,,NoiseArt Records,54
This page can’t be found.,,Swordborn,"October 28, 2017",German Metal,Power Metal,Power Metal,,,,,,,,,,,,,,,,,,,,3,,NoiseArt Records,54
Communic,Where Echoes Gather,Steel Druhm,"October 27, 2017",Norwegian Metal,Progressive Metal,Heavy Metal,,,,,,,,,,,,,,,,,,,,,,,31
Wormwood,Mooncurse,Grymm,"October 26, 2017",American Metal,Doom Metal,Sludge,Doom Metal,Post-Metal,Sludge,,,,,,,,,,,,,,,,,3,6,Translation Loss Records,42
This page can’t be found.,,Grymm,"October 26, 2017",American Metal,Doom Metal,Sludge,Doom Metal,Post-Metal,Sludge,,,,,,,,,,,,,,,,,3,6,Translation Loss Records,42
This page can’t be found.,,Grymm,"October 26, 2017",American Metal,Doom Metal,Sludge,Doom Metal,Post-Metal,Sludge,,,,,,,,,,,,,,,,,3,6,Translation Loss Records,42
Exhumed,Death Revenge,L. Saunders,"October 26, 2017",American Metal,Death Metal,Melodic Death Metal,Death Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,4,7,Relapse Records,33
Serenity,Lionheart,Angry Metal Guy,"October 26, 2017",Austrian Metal,Power Metal,Power Metal,,,,,,,,,,,,,,,,,,,,,,,97
Throane,Plus une main à mordre,Roquentin,"October 25, 2017",Avante Garde,Black Metal,Drone,French Metal,Black Metal,,,,,,,,,,,,,,,,,,3,4,Debemur Morti Productions,16
This page can’t be found.,,Roquentin,"October 25, 2017",Avante Garde,Black Metal,Drone,French Metal,Black Metal,,,,,,,,,,,,,,,,,,3,4,Debemur Morti Productions,16
Ne Obliviscaris,Urn,El Cuervo,"October 24, 2017",Australian Metal,Black Metal,Death Metal,Progressive Metal,Black Metal,Death Metal,Progressive Metal,Symphonic Metal,,,,,,,,,,,,,,,4,5,Season of Mist,109
Goatpenis,Anesthetic Vapor,Mark Z.,"October 24, 2017",Black Metal,Brazilian Metal,Death Metal,Black Metal,Death Metal,,,,,,,,,,,,,,,,,,3.5,6,Nuclear War Now! Productions,67
Dragonhammer,Obscurity,Swordborn,"October 23, 2017",Italian Metal,Power Metal,Power Metal,,,,,,,,,,,,,,,,,,,,2.5,7,My Kingdom Music,69
The King is Blind,"We Are the Parasite, We Are the Cancer",Ferrous Beuller,"October 23, 2017",Death Metal,Doom Metal,English Metal,Grind,Death Metal,Doom Metal,Grind,,,,,,,,,,,,,,,,4,7,Calva Records,64
Xanthochroid,Of Erthe and Axen: Act II,L. Saunders,"October 22, 2017",American Metal,Melodic Black Metal,Progressive Metal,Symphonic Metal,Melodic Black Metal,Progressive Metal,Symphonic Metal,,,,,,,,,,,,,,,,3,8,Self-Released,53
Bell Witch,Mirror Reaper,Dr. Wvrm,"October 21, 2017",American Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,,4,6,Profound Lore Records,101
Altarage,Endinghent,Kronos,"October 20, 2017",Black Metal,Death Metal,Spanish Metal,Death Metal,,,,,,,,,,,,,,,,,,,3,4,Season of Mist,45
Gutslit,Amputheatre,L. Saunders,"October 20, 2017",Death Metal,Grind,Indian Metal,Death Metal,,,,,,,,,,,,,,,,,,,3.5,8,Transcending Obscurity Records,52
Power Quest,Sixth Dimension,Eldritch Elitist,"October 19, 2017",English Metal,Power Metal,Power Metal,,,,,,,,,,,,,,,,,,,,3,6,Inner Wound Recordings,72
Masters of Disguise,Alpha/Omega,Steel Druhm,"October 19, 2017",German Metal,Heavy Metal,Speed Metal,Thrash Metal,Heavy Metal,Speed Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,66
This page can’t be found.,,Steel Druhm,"October 19, 2017",German Metal,Heavy Metal,Speed Metal,Thrash Metal,Heavy Metal,Speed Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,66
Nazghor,Infernal Aphorism,Dr. Wvrm,"October 18, 2017",Melodic Black Metal,Swedish Metal,Melodic Black Metal,,,,,,,,,,,,,,,,,,,,3.5,8,Non Serviam Records,37
Sorcerer,The Crowning of the Fire King,Steel Druhm,"October 18, 2017",Doom Metal,Epic Metal,Heavy Metal,Swedish Metal,Doom Metal,Epic Metal,Heavy Metal,,,,,,,,,,,,,,,,,,,83
Fozzy,Judas,Dr. A.N. Grier,"October 17, 2017",American Metal,Hard Rock,Hard Rock,,,,,,,,,,,,,,,,,,,,2.5,5,Century Media,95
Hallatar,No Stars Upon the Bridge,Steel Druhm,"October 17, 2017",Death Metal,Doom Metal,Finnish Metal,Death Metal,Doom Metal,,,,,,,,,,,,,,,,,,4,8,Svart Records,63
Dark Waters End,Submersion,Kronos,"October 15, 2017",American Metal,Death Metal,Metalcore,Progressive Metal,Death Metal,Metalcore,Progressive Metal,,,,,,,,,,,,,,,,1.5,5,Self-Released,39
This page can’t be found.,,Kronos,"October 15, 2017",American Metal,Death Metal,Metalcore,Progressive Metal,Death Metal,Metalcore,Progressive Metal,,,,,,,,,,,,,,,,1.5,5,Self-Released,39
Enslaved,E,Angry Metal Guy,"October 13, 2017",Black Metal,Norwegian Metal,Progressive Rock,Black Metal,Progressive Rock,,,,,,,,,,,,,,,,,,3,6,Nuclear Blast,149
Crimfall,Amain,Angry Metal Guy,"October 13, 2017",Finnish Metal,Folk Metal,Folk Metal,,,,,,,,,,,,,,,,,,,,,,,78
Forsaken,Pentateuch,Grymm,"October 12, 2017",Doom Metal,Maltese Metal,Mighty Music,Doom Metal,,,,,,,,,,,,,,,,,,,2,4,Mighty Music,40
This page can’t be found.,,Grymm,"October 12, 2017",Doom Metal,Maltese Metal,Mighty Music,Doom Metal,,,,,,,,,,,,,,,,,,,2,4,Mighty Music,40
Sarke,Viige Urh,Dr. A.N. Grier,"October 12, 2017",Black Metal,Norwegian Metal,Black Metal,,,,,,,,,,,,,,,,,,,,3,6,Indie Recordings,25
Siberian Meat Grinder,Metal Bear Stomp,GardensTale,"October 11, 2017",Hardcore,Russian Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,3,5,Self-Released,35
Iris Divine,The Static and the Noise,Huck N Roll,"October 10, 2017",Alt-Metal,American Metal,Progressive Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,3.5,6,Self-Released,79
This page can’t be found.,,Huck N Roll,"October 10, 2017",Alt-Metal,American Metal,Progressive Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,3.5,6,Self-Released,79
Angel Vivaldi,Synapse,Swordborn,"October 9, 2017",American Metal,Instrumental Metal,Progressive Metal,Instrumental Metal,Progressive Metal,,,,,,,,,,,,,,,,,,2.5,5,Seek and Strike,38
Nocturnal Rites,Phoenix,Steel Druhm,"October 9, 2017",Heavy Metal,Power Metal,Swedish Metal,Heavy Metal,Power Metal,,,,,,,,,,,,,,,,,,3,6,AFM Records,53
Jag Panzer,The Deviant Chord,Steel Druhm,"October 8, 2017",American Metal,Heavy Metal,Heavy Metal,,,,,,,,,,,,,,,,,,,,4,8,SPV,45
Spotlights,Seismic,Mark Z.,"October 7, 2017",American Metal,Post-Metal,Shoegaze,Sludge,Post-Metal,Shoegaze,Sludge Metal,,,,,,,,,,,,,,,,2.5,6,Ipecac Recordings,41
The Black Dahlia Murder,Nightbringers,Angry Metal Guy,"October 6, 2017",American Metal,Melodic Death Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,3.5,6,Metal Blade Records,101
This page can’t be found.,,Angry Metal Guy,"October 6, 2017",American Metal,Melodic Death Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,3.5,6,Metal Blade Records,101
This page can’t be found.,,Angry Metal Guy,"October 6, 2017",American Metal,Melodic Death Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,3.5,6,Metal Blade Records,101
This page can’t be found.,,Angry Metal Guy,"October 6, 2017",American Metal,Melodic Death Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,3.5,6,Metal Blade Records,101
Enzo and the Glory Ensemble,In the Name of the Son,Master of Muppets,"October 5, 2017",Italian Metal,Progressive Metal,Symphonic Metal,Progressive Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,2.5,6,Rockshots Records,82
This page can’t be found.,,Master of Muppets,"October 5, 2017",Italian Metal,Progressive Metal,Symphonic Metal,Progressive Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,2.5,6,Rockshots Records,82
This page can’t be found.,,Master of Muppets,"October 5, 2017",Italian Metal,Progressive Metal,Symphonic Metal,Progressive Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,2.5,6,Rockshots Records,82
This page can’t be found.,,Master of Muppets,"October 5, 2017",Italian Metal,Progressive Metal,Symphonic Metal,Progressive Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,2.5,6,Rockshots Records,82
This page can’t be found.,,Master of Muppets,"October 5, 2017",Italian Metal,Progressive Metal,Symphonic Metal,Progressive Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,2.5,6,Rockshots Records,82
Antiversum,Cosmos Comedenti,Dr. A.N. Grier,"October 2, 2017",Black Metal,Death Metal,Swiss Metal,Black Metal,Death Metal,,,,,,,,,,,,,,,,,,3,5,Invictus Productions,13
Monolord,Rust,Huck N Roll,"October 2, 2017",Doom Metal,Occult Rock,Stoner Metal,,,,,,,,,,,,,,,,,,,,3,8,RidingEasy Records,40
Arallu,Six,Master of Muppets,"October 1, 2017",Black Metal,Death Metal,Israeli Metal,Death Metal,,,,,,,,,,,,,,,,,,,3.5,5,Transcending Obscurity Records,63
