Artist,Album,Author,Date,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Genre 9,Genre 10,Genre 11,Genre 12,Genre 13,Genre 14,Genre 15,Genre 16,Genre 17,Genre 18,Genre 19,Genre 20,Genre 21,Genre 22,Rating,DR Score,Label,Comments
Master Spy,The Train,Holdeneye,"September 20, 2021",Heavy Metal,NWOBHM,Power Metal,,,,,,,,,,,,,,,,,,,,2.5,6,Self-Released,75
Tardus Mortem,Armageddon,Dear Hollow,"September 20, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,6,Emanzipation Productions,33
Rivers of Nihil,The Work,Kronos,"September 20, 2021",Death Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,,,3,6,Metal Blade Records,33
Starless,Hope Is Leaving You,Twelve,"September 19, 2021",Post-Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Self-Released,11
Mehenet,Ng’ambu,Cherd of Doom,"September 18, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,5,Gilead Media,10
Ancient Empire,Priest of Stygia,Steel Druhm,"September 17, 2021",Heavy Metal,,,,,,,,,,,,,,,,,,,,,,3,6,Stormspell Records,23
Journey Into Darkness,Infinite Universe Infinite Death,GardensTale,"September 17, 2021",Black Metal,Death Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,,,3,8,Physical,10
Without God,Siberian Tunes: Purple Clouds,Holdeneye,"September 17, 2021",Doom Metal,Sludge,Stoner Metal,,,,,,,,,,,,,,,,,,,,3.5,10,Solitude Productions,31
Aeons,Consequences,Doom_et_Al,"September 16, 2021",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,2.5,6,Self-Released,25
Carcass,Torn Arteries,L. Saunders,"September 16, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,Nuclear Blast,77
Blazon Stone,Damnation,Steel Druhm,"September 15, 2021",Heavy Metal,,,,,,,,,,,,,,,,,,,,,,3.5,10,Stormspell Records,52
Criminal,Sacrificio,Felagund,"September 15, 2021",Death Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,,2,,Metal Blade Records,20
Brainstorm,Wall of Skulls,Steel Druhm,"September 14, 2021",Heavy Metal,,,,,,,,,,,,,,,,,,,,,,4,5,AFM Records,94
Claymorean,Eulogy for the Gods,El Cuervo,"September 14, 2021",Heavy Metal,Power Metal,,,,,,,,,,,,,,,,,,,,,2,8,Stormspell Records,42
Whyzdom,Of Wonders and Wars,TheKenWord,"September 13, 2021",Power Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,,,,2,6,Scarlet Records,14
Dawn Fades,Ode,Emya,"September 13, 2021",Post-Metal,Shoegaze,,,,,,,,,,,,,,,,,,,,,3.5,6,Metal Assault Records,16
Trance of the Undead,Chalice of Disease,Dear Hollow,"September 12, 2021",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,1.5,8,Iron Bonehead Productions,46
Black Mass,Feast at the Forbidden Tree,Holdeneye,"September 11, 2021",Speed Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,,3.5,8,Redefining Darkness Records,36
Aborted,ManiaCult,Ferrous Beuller,"September 10, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,5,Century Media,36
Pa Vesh En,Maniac Manifest,Dear Hollow,"September 10, 2021",Black Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,,3.5,5,Iron Bonehead Productions,13
Billy Boy in Poison,Umbra,Grymm,"September 9, 2021",Metalcore,,,,,,,,,,,,,,,,,,,,,,2,6,Prime Collective,28
Chrome Waves,The Rain will Cleanse,Carcharodon,"September 9, 2021",Post-Metal,Shoegaze,,,,,,,,,,,,,,,,,,,,,3,7,Transcending Obscurity Records,20
Wharflurch,Psychedelic Realms ov Hell,Steel Druhm,"September 9, 2021",Death Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,,3,8,Gurgling Gore,23
Nocturnal,Serpent Death,L. Saunders,"September 8, 2021",Thrash Metal,,,,,,,,,,,,,,,,,,,,,,3,9,Dying Victims Productions,11
TRNA,Istok,Twelve,"September 8, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,,,21
Ruin,Spread Plague Death,Kronos,"September 7, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,2.5,5,Nameless Grave Records,25
Beyond Grace,Our Kingdom Undone,Ferrous Beuller,"September 7, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,4,5,Prosthetic Records,33
Never End,The Cold and the Craving,GardensTale,"September 7, 2021",Groove Metal,Metalcore,,,,,,,,,,,,,,,,,,,,,1.5,7,Brutal Records,13
Summoner’s Circle,Chaos Vector,Diabolus in Muzaka,"September 6, 2021",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,2,7,Blood Blast Distribution,7
Moon Unit,Differences in Language and Lifestyle,Felagund,"September 5, 2021",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,2,7,PRT Records,17
Deformatory,Inversion of the Unseen Horizon,Kronos,"September 4, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,2.5,8,Independent,25
Doctor Smoke,Dreamers and the Dead,Steel Druhm,"September 4, 2021",Hard Rock,Occult Rock,Stoner Rock,,,,,,,,,,,,,,,,,,,,3.5,,Ripple Music,29
Malison,Death’s Embrace,TheKenWord,"September 3, 2021",Heavy Metal,Power Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,,3,5,Metal Assault Records,23
Rise to the Sky,Per Aspera Ad Astra,Twelve,"September 3, 2021",,,,,,,,,,,,,,,,,,,,,,,3.5,6,GS Productions,37
Book of Numbers,Magick,Dr. A.N. Grier,"September 2, 2021",Doom Metal,Heavy Metal,Power Metal,,,,,,,,,,,,,,,,,,,,3,8,Pride & Joy Music,35
Dead Soul Alliance,Behind the Scenes,Steel Druhm,"September 2, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,2.5,9,Bitter Loss Records,4
